folder_path,label
D:\processed_faces\fake\604_703,1
D:\processed_faces\real\00166,0
D:\processed_faces\real\00029,0
D:\processed_faces\fake\id1_id17_0000,1
D:\processed_faces\real\994,0
D:\processed_faces\fake\01_11__outside_talking_pan_laughing__WIZ7GKOD,1
D:\processed_faces\fake\387_311,1
D:\processed_faces\real\id35_0007,0
D:\processed_faces\fake\02_27__walking_down_street_outside_angry__3L1MLH3D,1
D:\processed_faces\fake\01_12__outside_talking_pan_laughing__TNI7KUZ6,1
D:\processed_faces\fake\02_18__meeting_serious__B95S4G6F,1
D:\processed_faces\fake\718_972,1
D:\processed_faces\real\512,0
D:\processed_faces\real\id37_0005,0
D:\processed_faces\real\id6_0008,0
D:\processed_faces\real\840,0
D:\processed_faces\fake\998_561,1
D:\processed_faces\real\00190,0
D:\processed_faces\fake\860_905,1
D:\processed_faces\real\00027,0
D:\processed_faces\fake\090_086,1
D:\processed_faces\fake\id1_id2_0002,1
D:\processed_faces\real\939,0
D:\processed_faces\fake\id4_id2_0000,1
D:\processed_faces\real\209,0
D:\processed_faces\real\id50_0001,0
D:\processed_faces\fake\id3_id16_0001,1
D:\processed_faces\real\18__kitchen_still,0
D:\processed_faces\real\951,0
D:\processed_faces\fake\id1_id35_0000,1
D:\processed_faces\real\id11_0008,0
D:\processed_faces\real\544,0
D:\processed_faces\real\00213,0
D:\processed_faces\real\680,0
D:\processed_faces\fake\493_538,1
D:\processed_faces\real\06__talking_angry_couch,0
D:\processed_faces\real\386,0
D:\processed_faces\real\11__podium_speech_happy,0
D:\processed_faces\fake\id3_id37_0008,1
D:\processed_faces\real\id5_0003,0
D:\processed_faces\real\236,0
D:\processed_faces\real\00035,0
D:\processed_faces\fake\id4_id30_0000,1
D:\processed_faces\real\02__walking_down_indoor_hall_disgust,0
D:\processed_faces\fake\782_787,1
D:\processed_faces\fake\id1_id31_0005,1
D:\processed_faces\real\000,0
D:\processed_faces\real\265,0
D:\processed_faces\real\id4_0006,0
D:\processed_faces\real\id54_0001,0
D:\processed_faces\fake\642_635,1
D:\processed_faces\fake\635_642,1
D:\processed_faces\real\00053,0
D:\processed_faces\fake\id9_id2_0001,1
D:\processed_faces\real\168,0
D:\processed_faces\fake\965_948,1
D:\processed_faces\real\15__podium_speech_happy,0
D:\processed_faces\real\27__outside_talking_pan_laughing,0
D:\processed_faces\real\id34_0004,0
D:\processed_faces\real\04__outside_talking_pan_laughing,0
D:\processed_faces\fake\458_722,1
D:\processed_faces\fake\383_353,1
D:\processed_faces\fake\908_207,1
D:\processed_faces\fake\id3_id23_0002,1
D:\processed_faces\real\617,0
D:\processed_faces\fake\569_921,1
D:\processed_faces\real\529,0
D:\processed_faces\real\784,0
D:\processed_faces\fake\id4_id20_0003,1
D:\processed_faces\fake\01_11__talking_against_wall__WIZ7GKOD,1
D:\processed_faces\fake\id2_id1_0005,1
D:\processed_faces\real\082,0
D:\processed_faces\fake\01_20__kitchen_still__FW94AIMJ,1
D:\processed_faces\real\id55_0009,0
D:\processed_faces\fake\id8_id0_0007,1
D:\processed_faces\real\18__walk_down_hall_angry,0
D:\processed_faces\real\12__talking_against_wall,0
D:\processed_faces\real\00169,0
D:\processed_faces\fake\273_807,1
D:\processed_faces\real\08__kitchen_still,0
D:\processed_faces\fake\01_14__hugging_happy__0S0NS5C6,1
D:\processed_faces\real\10__talking_angry_couch,0
D:\processed_faces\real\id30_0001,0
D:\processed_faces\fake\526_436,1
